date,fear_and_greed_index
2022-01-03,65.0
2022-01-04,64.0
2022-01-05,51.0
2022-01-06,52.0
2022-01-07,49.0
2022-01-10,51.0
2022-01-11,56.0
2022-01-12,55.0
2022-01-13,52.0
2022-01-14,55.0
2022-01-18,53.0
2022-01-19,44.0
2022-01-20,39.0
2022-01-21,26.0
2022-01-24,23.0
2022-01-25,20.0
2022-01-26,19.0
2022-01-27,18.0
2022-01-28,23.0
2022-01-31,29.0
2022-02-01,30.0
2022-02-02,28.0
2022-02-03,26.0
2022-02-04,27.0
2022-02-07,27.0
2022-02-08,28.0
2022-02-09,32.0
2022-02-10,33.0
2022-02-11,28.0
2022-02-14,25.0
2022-02-15,29.0
2022-02-16,32.0
2022-02-17,32.0
2022-02-18,29.0
2022-02-22,28.0
2022-02-23,18.0
2022-02-24,21.0
2022-02-25,28.0
2022-02-28,25.0
2022-03-01,22.0
2022-03-02,17.0
2022-03-03,21.0
2022-03-04,18.0
2022-03-07,16.0
2022-03-08,16.0
2022-03-09,18.0
2022-03-10,17.0
2022-03-11,19.0
2022-03-14,17.0
2022-03-15,21.0
2022-03-16,25.0
2022-03-17,33.0
2022-03-18,38.0
2022-03-21,40.0
2022-03-22,44.0
2022-03-23,45.0
2022-03-24,46.0
2022-03-25,49.0
2022-03-28,51.0
2022-03-29,52.0
2022-03-30,52.0
2022-03-31,59.0
2022-04-01,59.0
2022-04-04,61.0
2022-04-05,47.0
2022-04-06,46.0
2022-04-07,46.0
2022-04-08,46.0
2022-04-11,43.0
2022-04-12,42.0
2022-04-13,41.0
2022-04-14,39.0
2022-04-18,37.0
2022-04-19,39.0
2022-04-20,43.0
2022-04-21,38.0
2022-04-22,31.0
2022-04-25,29.0
2022-04-26,17.0
2022-04-27,16.0
2022-04-28,24.0
2022-04-29,14.0
2022-05-02,13.0
2022-05-03,30.0
2022-05-04,22.0
2022-05-05,13.0
2022-05-06,12.0
2022-05-09,8.0
2022-05-10,7.0
2022-05-11,4.0
2022-05-12,3.0
2022-05-13,11.0
2022-05-16,11.0
2022-05-17,15.0
2022-05-18,6.0
2022-05-19,13.0
2022-05-20,12.0
2022-05-23,17.0
2022-05-24,16.0
2022-05-25,17.0
2022-05-26,24.0
2022-05-27,29.0
2022-05-31,40.0
2022-06-01,40.0
2022-06-02,44.0
2022-06-03,35.0
2022-06-06,42.0
2022-06-07,45.0
2022-06-08,48.0
2022-06-09,47.0
2022-06-10,40.0
2022-06-13,25.0
2022-06-14,20.0
2022-06-15,29.0
2022-06-16,17.0
2022-06-17,16.0
2022-06-21,19.0
2022-06-22,26.0
2022-06-23,26.0
2022-06-24,30.0
2022-06-27,30.0
2022-06-28,28.0
2022-06-29,26.0
2022-06-30,24.0
2022-07-01,24.0
2022-07-05,22.0
2022-07-06,22.0
2022-07-07,27.0
2022-07-08,31.0
2022-07-11,30.0
2022-07-12,30.0
2022-07-13,27.0
2022-07-14,26.0
2022-07-15,33.0
2022-07-18,35.0
2022-07-19,39.0
2022-07-20,44.0
2022-07-21,48.0
2022-07-22,42.0
2022-07-25,42.0
2022-07-26,42.0
2022-07-27,46.0
2022-07-28,48.0
2022-07-29,52.0
2022-08-01,59.0
2022-08-02,57.0
2022-08-03,60.0
2022-08-04,61.0
2022-08-05,63.0
2022-08-08,64.0
2022-08-09,64.0
2022-08-10,65.0
2022-08-11,65.0
2022-08-12,68.0
2022-08-15,66.0
2022-08-16,67.0
2022-08-17,67.0
2022-08-18,66.0
2022-08-19,63.0
2022-08-22,60.0
2022-08-23,57.0
2022-08-24,57.0
2022-08-25,58.0
2022-08-26,55.0
2022-08-29,54.0
2022-08-30,49.0
2022-08-31,52.0
2022-09-01,49.0
2022-09-02,42.0
2022-09-06,40.0
2022-09-07,39.0
2022-09-08,40.0
2022-09-09,43.0
2022-09-12,47.0
2022-09-13,36.0
2022-09-14,41.0
2022-09-15,40.0
2022-09-16,35.0
2022-09-19,36.0
2022-09-20,36.0
2022-09-21,27.0
2022-09-22,24.0
2022-09-23,21.0
2022-09-26,17.0
2022-09-27,16.0
2022-09-28,17.0
2022-09-29,13.0
2022-09-30,16.0
2022-10-03,20.0
2022-10-04,27.0
2022-10-05,29.0
2022-10-06,23.0
2022-10-07,19.0
2022-10-10,19.0
2022-10-11,16.0
2022-10-12,15.0
2022-10-13,19.0
2022-10-14,16.0
2022-10-17,23.0
2022-10-18,28.0
2022-10-19,29.0
2022-10-20,39.0
2022-10-21,43.0
2022-10-24,47.0
2022-10-25,51.0
2022-10-26,53.0
2022-10-27,54.0
2022-10-28,57.0
2022-10-31,64.0
2022-11-01,63.0
2022-11-02,55.0
2022-11-03,55.0
2022-11-04,56.0
2022-11-07,59.0
2022-11-08,57.0
2022-11-09,54.0
2022-11-10,60.0
2022-11-11,63.0
2022-11-14,62.0
2022-11-15,66.0
2022-11-16,65.0
2022-11-17,61.0
2022-11-18,60.0
2022-11-21,60.0
2022-11-22,60.0
2022-11-23,64.0
2022-11-25,63.0
2022-11-28,59.0
2022-11-29,58.0
2022-11-30,73.0
2022-12-01,75.0
2022-12-02,68.0
2022-12-05,65.0
2022-12-06,61.0
2022-12-07,58.0
2022-12-08,55.0
2022-12-09,52.0
2022-12-12,57.0
2022-12-13,59.0
2022-12-14,60.0
2022-12-15,60.0
2022-12-16,44.0
2022-12-19,39.0
2022-12-20,38.0
2022-12-21,38.0
2022-12-22,37.0
2022-12-23,39.0
2022-12-27,39.0
2022-12-28,35.0
2022-12-29,37.0
2022-12-30,36.0
